season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2018,Treveon Graham,UFA,1.8,Signed 2-yr minimum salary contract,2,1512601.00,spotrac
2019,Trevon Duval,UFA,0.1,NA,0,0.00,NA
2018,Trevor Ariza,UFA,5.3,Signed 1-yr $15MM contract,1,15000000.00,capology
2019,Trevor Ariza,UFA,2.5,Signed 2-yr $25M contract,2,12200000.00,capology
2016,Trevor Booker,UFA,4.3,Signed 2-yr/$18M deal with Nets,2,9250000.00,capology
2018,Trevor Booker,UFA,2.9,Will reportedly play in China,0,0.00,NA
2019,Trey Burke,UFA,1.9,Signed 1-yr $2.02M contract,1,2028594.00,capology
2017,Trey Burke,UFA,0.5,NA,0,0.00,NA
2019,Trey Lyles,UFA,1.2,Signed 2-yr $11M contract,2,5500000.00,capology
2019,Troy Caupain,UFA,0.1,Signed Exhibit 10 contract,0,0.00,NA
2016,Troy Daniels,RFA,1.1,Traded to Grizzlies via sign-and-trade,3,3332940.00,bball-insiders
2019,Troy Daniels,UFA,0.3,Signed 1-yr $2.02M contract,1,2028594.00,spotrac
2017,Troy Williams,UFA,0.4,Signed 3-yr deal with Rockets,3,1471382.00,capology
2018,Troy Williams,UFA,0.5,"Signed 2-yr $3.158MM contract, second year team option *estimated*",2,1578979.00,none
2019,Troy Williams,UFA,0.4,NA,0,0.00,NA
2016,Ty Lawson,UFA,0.9,Reportedly agreed to 1-yr deal with Kings,1,1315448.00,spotrac
2017,Ty Lawson,UFA,3.2,Signed to play in China,0,0.00,NA
2018,Tyler Cavanaugh,UFA,1.2,Signed two-way contract,0,0.00,NA
2019,Tyler Cavanaugh,UFA,0,Will reportedly play in Germany,0,0.00,NA
2019,Tyler Dorsey,UFA,0.6,Will reportedly play in Israel,0,0.00,NA
2017,Tyler Ennis,UFA,0.4,Signed 2-yr deal with Lakers,2,1524305.00,NA
2018,Tyler Ennis,UFA,0.8,Will reportedly play in Turkey,0,0.00,NA
2016,Tyler Hansbrough,UFA,1,NA,0,0.00,NA
2016,Tyler Johnson,RFA,2,Signed 4-yr/$50M deal with Heat *heavily backloaded*,4,5628000.00,capology
2019,Tyler Lydon,UFA,0.2,Signed 2-yr $3.38M contract,2,1620564.00,spotrac
2019,Tyler Ulis,UFA,0,Signed 1-yr $1.62M contract,1,1678854.00,bball-insiders
2018,Tyler Ulis,UFA,-0.2,Signed Exhibit 10 contract,0,0.00,NA
2016,Tyler Zeller,UFA,1.7,Signed 2-yr/$8M deal with Celtics *correction: 16 mil*,2,8000000.00,capology
2017,Tyler Zeller,UFA,1,Signed 2-yr deal with Nets,2,1709538.00,spotrac
2019,Tyler Zeller,UFA,0.3,Signed training camp deal,0,0.00,NA
2017,Tyreke Evans,UFA,0.7,Signed 1-yr/$3.3M deal with Grizzlies,1,3290000.00,capology
2018,Tyreke Evans,UFA,4.2,Signed 1-yr $12.4MM contract,1,12400000.00,capology
2018,Tyrone Wallace,RFA,0.7,*matched qualifying offer*,2,1349383.00,bball-insiders
2019,Tyson Chandler,UFA,2.1,Signed 1-yr $2.56M contract,1,2564753.00,capology
2019,Tyus Jones,RFA,3,Signed 3-yr $26.44M offer sheet,3,9258000.00,capology
2016,Udonis Haslem,UFA,0.4,Signed 1-yr/$4M deal with Heat,1,4000000.00,capology
2017,Udonis Haslem,UFA,0.2,Signed 1-yr deal with Heat,1,2328652.00,spotrac
2018,Udonis Haslem,UFA,-0.1,Signed 1-yr minimum salary contract,1,2393887.00,spotrac
2019,Udonis Haslem,UFA,-0.1,Signed 1-yr minimum salary contract,1,2564753.00,spotrac
2017,Vince Carter,UFA,4,Reportedly agreed to 1-yr/$8M deal with Kings,1,8000000.00,capology
2018,Vince Carter,UFA,1.2,Signed 1-yr minimum salary contract,1,2393887.00,capology
2019,Vince Carter,UFA,1.9,Signed 1-yr $2.56M contract,1,2564753.00,capology
2019,Vince Edwards,UFA,0,NA,0,0.00,NA
2019,Wade Baldwin,UFA,-0.3,Will reportedly play in Greece,0,0.00,NA
2019,Walt Lemon Jr.,UFA,0.1,Signed contract,1,1620564.00,capology
2016,Wayne Ellington,UFA,0.8,Reportedly agreed to 2-yr/$12M deal with Heat,2,6000000.00,capology
2018,Wayne Ellington,UFA,4.5,Signed 1-yr $6.27MM contract,1,6270000.00,capology
2019,Wayne Ellington,UFA,2.6,Signed 2-yr $16M contract,2,8000000.00,capology
2017,Wayne Selden,UFA,0.1,Signed 2-yr minimum deal with Grizzlies,2,1312611.00,capology
2019,Wayne Selden,UFA,-0.3,Will reportedly play in China,0,0.00,NA
2016,Wesley Johnson,UFA,2.6,Signed 3-yr/$18M deal with Clippers,3,5628000.00,capology
2019,Wesley Johnson,UFA,0,Will reportedly play in Greece,0,0.00,NA
2019,Wesley Matthews,UFA,2.7,Signed 2-yr $5.25M contract,2,2564753.00,capology
2018,Will Barton,UFA,6.2,"Signed 4-yr $53MM contract, fourth year player option",4,11830358.00,capology
2019,Willie Cauley-Stein,UFA,6.7,Signed 2-yr 4.46M contract,2,2177483.00,capology
2016,Willie Reed,RFA,1.2,Signed 2-yr deal with Heat,2,1015696.00,capology
